week,1,2,3,4,5,6,7
2015-27,2344.0,2970.0,3900.0,3227.0,3313.0,3427.0,3279.0
2015-28,1547.0,2974.0,3265.0,3611.0,3638.0,3324.0,3751.0
2015-29,1888.0,2939.0,3527.0,1303.0,2467.0,2054.0,3332.0
2015-30,2277.0,3529.0,3539.0,3272.0,2775.0,3820.0,2688.0
2015-31,2889.0,2915.0,2910.0,3263.0,2998.0,3471.0,2291.0
2015-32,3002.0,3349.0,3474.0,3132.0,1977.0,2806.0,2575.0
2015-33,2734.0,3191.0,3060.0,2331.0,2247.0,2638.0,2284.0
2015-34,1813.0,1692.0,1889.0,2385.0,2713.0,3043.0,2397.0
2015-35,2021.0,2318.0,2551.0,3539.0,1264.0,1520.0,3316.0
2015-36,2802.0,2881.0,2791.0,2648.0,2512.0,2708.0,2421.0
2015-37,2460.0,1340.0,3142.0,1722.0,2697.0,3228.0,2818.0
2015-38,2625.0,2735.0,2784.0,1725.0,1467.0,2705.0,2984.0
2015-39,2340.0,2569.0,2612.0,2389.0,2493.0,2951.0,2207.0
2015-40,2445.0,1121.0,1933.0,1733.0,1687.0,1194.0,899.0
2015-41,1610.0,2269.0,2371.0,1484.0,1678.0,1584.0,2274.0
2015-42,1581.0,1500.0,1880.0,1515.0,1327.0,949.0,1281.0
2015-43,1607.0,2147.0,1851.0,1916.0,831.0,603.0,1586.0
2015-44,1744.0,1057.0,589.0,838.0,1130.0,283.0,1622.0
2015-45,2020.0,2187.0,2072.0,1383.0,1048.0,822.0,1014.0
2015-46,1276.0,1363.0,987.0,379.0,364.0,782.0,1437.0
2015-47,897.0,398.0,540.0,674.0,597.0,120.0,132.0
2015-48,480.0,689.0,562.0,106.0,193.0,305.0,354.0
2015-49,372.0,614.0,557.0,708.0,880.0,754.0,450.0
2015-50,853.0,879.0,986.0,970.0,881.0,529.0,252.0
2015-51,503.0,832.0,583.0,597.0,480.0,187.0,314.0
2015-52,348.0,474.0,242.0,182.0,142.0,118.0,208.0
2015-53,123.0,181.0,219.0,127.0,104.0,124.0,110.0
2016-1,358.0,399.0,431.0,319.0,257.0,215.0,67.0
2016-10,1331.0,1310.0,1412.0,1231.0,1699.0,2159.0,372.0
2016-11,1143.0,589.0,408.0,840.0,740.0,518.0,910.0
2016-12,934.0,1365.0,278.0,170.0,553.0,1535.0,289.0
2016-13,1579.0,1982.0,688.0,670.0,827.0,195.0,1720.0
2016-14,724.0,721.0,659.0,712.0,513.0,533.0,268.0
2016-15,1088.0,1379.0,1201.0,2116.0,2649.0,3437.0,3772.0
2016-16,2657.0,995.0,1536.0,2127.0,1745.0,3121.0,2441.0
2016-17,2341.0,1254.0,830.0,465.0,1258.0,411.0,989.0
2016-18,2345.0,2186.0,1550.0,2448.0,3153.0,2032.0,3366.0
2016-19,1369.0,437.0,1711.0,2141.0,1118.0,661.0,1613.0
2016-2,230.0,249.0,261.0,426.0,403.0,144.0,43.0
