"GEO_ID","NAME","B28001_001E","B28001_001M","B28001_002E","B28001_002M","B28001_003E","B28001_003M","B28001_004E","B28001_004M","B28001_005E","B28001_005M","B28001_006E","B28001_006M","B28001_007E","B28001_007M","B28001_008E","B28001_008M","B28001_009E","B28001_009M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Has a computer","Margin of Error!!Total!!Has a computer","Estimate!!Total!!Has a computer!!Desktop or laptop","Margin of Error!!Total!!Has a computer!!Desktop or laptop","Estimate!!Total!!Has a computer!!Desktop or laptop!!Desktop or laptop alone","Margin of Error!!Total!!Has a computer!!Desktop or laptop!!Desktop or laptop alone","Estimate!!Total!!Has a computer!!Handheld computer","Margin of Error!!Total!!Has a computer!!Handheld computer","Estimate!!Total!!Has a computer!!Handheld computer!!Handheld computer alone","Margin of Error!!Total!!Has a computer!!Handheld computer!!Handheld computer alone","Estimate!!Total!!Has a computer!!Other computer","Margin of Error!!Total!!Has a computer!!Other computer","Estimate!!Total!!Has a computer!!Other computer!!Other computer alone","Margin of Error!!Total!!Has a computer!!Other computer!!Other computer alone","Estimate!!Total!!No Computer","Margin of Error!!Total!!No Computer"
"0400000US01","Alabama","1846390","11341","1492641","12725","1270469","13435","213456","6898","1268465","12808","209412","7569","102632","5439","4406","1001","353749","7270"
"0400000US02","Alaska","250185","2685","231202","2914","209445","3356","24698","2312","204587","3287","18735","1904","33142","2706","402","171","18983","1845"
"0400000US04","Arizona","2463008","12455","2158795","13440","1948232","13535","287226","8154","1858643","15522","200534","7235","125626","5246","2840","685","304213","7540"
"0400000US05","Arkansas","1144663","8300","931367","8814","789136","9836","132369","4976","791861","8993","132895","4895","66708","5219","2534","682","213296","5253"
"0400000US06","California","12896357","19487","11567258","23784","10543576","26053","1179849","14625","10292437","27223","923058","15586","1208793","16850","27202","2734","1329099","16772"
"0400000US08","Colorado","2074735","7548","1898146","8877","1762319","9294","209437","6182","1679951","9378","126016","6367","122448","5829","3056","791","176589","5742"
"0400000US09","Connecticut","1343703","6712","1189840","7642","1100683","8091","164650","5426","1015452","8635","81307","4428","106329","5246","2987","731","153863","6402"
"0400000US10","Delaware","352595","3920","307942","4023","277528","4240","42543","2930","263203","4175","27805","2833","23040","2480","1406","718","44653","2815"
"0400000US11","District of Columbia","281787","3030","251674","3788","229253","4133","20811","1916","229528","4345","21494","2628","15904","2164","383","274","30113","2728"
