"GEO_ID","NAME","B28001_001E","B28001_001M","B28001_002E","B28001_002M","B28001_003E","B28001_003M","B28001_004E","B28001_004M","B28001_005E","B28001_005M","B28001_006E","B28001_006M","B28001_007E","B28001_007M","B28001_008E","B28001_008M","B28001_009E","B28001_009M","B28001_010E","B28001_010M","B28001_011E","B28001_011M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Has one or more types of computing devices","Margin of Error!!Total!!Has one or more types of computing devices","Estimate!!Total!!Has one or more types of computing devices!!Desktop or laptop","Margin of Error!!Total!!Has one or more types of computing devices!!Desktop or laptop","Estimate!!Total!!Has one or more types of computing devices!!Desktop or laptop!!Desktop or laptop with no other type of computing device","Margin of Error!!Total!!Has one or more types of computing devices!!Desktop or laptop!!Desktop or laptop with no other type of computing device","Estimate!!Total!!Has one or more types of computing devices!!Smartphone","Margin of Error!!Total!!Has one or more types of computing devices!!Smartphone","Estimate!!Total!!Has one or more types of computing devices!!Smartphone!!Smartphone with no other type of computing device","Margin of Error!!Total!!Has one or more types of computing devices!!Smartphone!!Smartphone with no other type of computing device","Estimate!!Total!!Has one or more types of computing devices!!Tablet or other portable wireless computer","Margin of Error!!Total!!Has one or more types of computing devices!!Tablet or other portable wireless computer","Estimate!!Total!!Has one or more types of computing devices!!Tablet or other portable wireless computer!!Tablet or other portable wireless computer with no other type of computing device","Margin of Error!!Total!!Has one or more types of computing devices!!Tablet or other portable wireless computer!!Tablet or other portable wireless computer with no other type of computing device","Estimate!!Total!!Has one or more types of computing devices!!Other computer","Margin of Error!!Total!!Has one or more types of computing devices!!Other computer","Estimate!!Total!!Has one or more types of computing devices!!Other computer!!Other computer with no other type of computing device","Margin of Error!!Total!!Has one or more types of computing devices!!Other computer!!Other computer with no other type of computing device","Estimate!!Total!!No Computer","Margin of Error!!Total!!No Computer"
"0400000US01","Alabama","1855184","11821","1617364","12859","1251730","14087","78610","4617","1477162","12852","235594","7499","1024086","15036","21609","2290","41421","3682","451","274","237820","7948"
"0400000US02","Alaska","254551","3266","243428","3328","204652","4223","8530","1197","229052","3046","24497","2883","169208","4339","1513","454","11651","1563","12","21","11123","1271"
"0400000US04","Arizona","2614298","11305","2437343","11872","2089711","13603","108836","4849","2250735","12952","218328","8512","1671375","13995","19310","2151","73865","4430","396","296","176955","6315"
"0400000US05","Arkansas","1156347","7393","1024166","8702","779517","10504","50624","3721","940456","9114","168177","6253","621341","9713","9697","1554","20362","2455","262","196","132181","5951"
"0400000US06","California","13072122","21485","12339422","22810","10732212","27904","429488","10497","11604813","23856","976010","16163","8688262","31722","90611","4577","473702","9988","2725","686","732700","12803"
"0400000US08","Colorado","2176757","7548","2056401","9463","1823335","11384","87081","4109","1908702","10663","139431","6841","1456499","13943","15304","2091","51153","2909","728","430","120356","5556"
"0400000US09","Connecticut","1378091","6923","1271850","8759","1100001","11070","62229","3401","1157815","8327","98880","6163","893599","9995","15176","1799","33025","2776","164","159","106241","5097"
"0400000US10","Delaware","367671","3933","341417","4894","275420","5845","17218","1764","311845","4853","35593","3234","225185","6086","3723","877","9031","1321","6","12","26254","2355"
"0400000US11","District of Columbia","287476","2752","266613","3420","230574","4069","6223","1303","253586","3618","23099","2422","186192","4078","2664","828","7322","1448","0","213","20863","2403"
"0400000US12","Florida","7809358","20825","7282429","23526","6239017","28692","343461","9895","6698394","25533","671573","16124","4865483","32211","64962","3198","264393","9675","1678","523","526929","12589"
"0400000US13","Georgia","3803012","14400","3486409","17312","2911729","19817","130838","5516","3265340","16901","379189","12707","2365447","25310","28279","2645","101449","6920","708","369","316603","7939"
"0400000US15","Hawaii","455309","4541","417079","4586","359139","4918","16624","1868","387461","5117","31170","2743","302253","5119","4824","948","10753","1571","155","254","38230","2795"
"0400000US16","Idaho","640270","5214","600415","5882","523354","7088","28888","2918","547321","6270","42190","3514","418061","8077","7151","1510","19430","2461","117","150","39855","2725"
"0400000US17","Illinois","4864864","12677","4450176","15959","3761101","19233","189400","5975","4117693","17137","426882","11458","3054385","19830","40933","2537","134005","6535","1545","535","414688","10016"
"0400000US18","Indiana","2599169","10447","2353197","11861","1931242","16005","116461","4573","2146549","11707","257368","8110","1570117","15530","26880","2362","50277","3557","533","286","245972","7277"
"0400000US19","Iowa","1267873","7772","1147819","8918","961807","10446","61525","2979","1036717","9130","109743","5376","773129","10513","14709","1694","23817","2066","173","189","120054","5320"
"0400000US20","Kansas","1133408","7193","1043794","8384","872982","8831","52457","2937","954176","8252","102380","4621","699461","9994","10901","1458","26960","2247","109","92","89614","3779"
"0400000US21","Kentucky","1732713","8718","1537009","10785","1228983","12240","75705","4171","1387057","10333","176919","6677","1030313","12805","27880","2653","45724","4087","501","216","195704","6608"
"0400000US22","Louisiana","1737220","10627","1517731","12673","1163328","12113","62679","3714","1405234","12405","233487","9235","935652","12133","18667","2395","43044","2959","361","240","219489","6788"
"0400000US23","Maine","570307","5261","515212","5783","447946","5836","44451","2604","436246","6100","33228","2754","349698","5431","9262","1446","12481","1968","7","13","55095","3307"
"0400000US24","Maryland","2215935","9432","2065101","12001","1822268","13995","87854","4149","1912274","11887","142528","7528","1509543","13921","17134","1856","62225","3776","492","357","150834","6149"
"0400000US25","Massachusetts","2624294","8879","2427800","8965","2146223","12264","130009","6294","2201481","10290","151314","7510","1731180","12973","32005","2691","54972","3440","353","322","196494","6373"
"0400000US26","Michigan","3957466","12369","3603812","13772","2991137","15659","190190","5278","3256990","12875","370184","10219","2408052","15732","46008","2862","85750","4162","1064","343","353654","8653"
"0400000US27","Minnesota","2194452","6925","2030047","8595","1771208","12609","104343","3733","1847215","8997","143978","6079","1421616","12606","21993","1951","53919","2880","819","295","164405","5679"
"0400000US28","Mississippi","1108630","9460","958725","9921","701141","9963","37761","3140","889291","9792","176358","6442","578475","10902","12598","1899","21685","2591","124","123","149905","5690"
"0400000US29","Missouri","2434806","10407","2207971","12322","1808739","15888","115782","4565","2009496","12680","243232","9251","1455606","16107","26929","3122","57636","3822","323","197","226835","6461"
"0400000US30","Montana","431421","4444","387651","5642","335263","5294","26499","2019","342378","5546","28400","2746","260009","5898","4858","872","9076","1518","141","149","43770","2764"
"0400000US31","Nebraska","765490","3878","701779","5011","594356","6177","40319","2547","633017","5185","58923","3754","483531","6513","9570","1275","15131","1659","150","124","63711","3337"
"0400000US32","Nevada","1129810","6479","1057226","7887","898390","9827","44409","3000","984250","8247","99933","4995","709720","9797","7028","1254","39302","3200","60","99","72584","4020"
"0400000US33","New Hampshire","531212","5670","498147","5989","448260","7026","33478","2470","438326","6811","23191","2625","357576","6953","4994","905","15282","1979","106","131","33065","3158"
"0400000US34","New Jersey","3249567","9867","3022880","12282","2651365","14484","138700","5499","2786989","12699","214170","6819","2155943","15322","29012","2320","78149","4457","432","264","226687","7446"
"0400000US35","New Mexico","794093","5137","698110","6261","560419","7991","37480","3057","635332","7572","95786","5422","425334","7620","7834","1685","20317","1937","278","216","95983","3957"
"0400000US36","New York","7367015","16617","6705817","20758","5736416","24141","350001","7485","6096084","21293","559263","14149","4562318","23281","83057","3967","215202","8616","2064","677","661198","12900"
"0400000US37","North Carolina","4011462","16617","3652206","17630","3052488","20586","168489","6536","3355182","18849","381918","9879","2444242","21367","40911","3834","101548","5279","288","191","359256","9871"
"0400000US38","North Dakota","319355","4442","288370","4998","244286","5341","13313","1694","263094","5129","24788","2679","200056","5376","3903","820","7171","1310","24","40","30985","2310"
"0400000US39","Ohio","4685447","12486","4245349","16617","3518240","19900","233908","6079","3823037","16249","419949","11138","2891076","20179","55351","3547","105419","5342","1439","608","440098","9688"
"0400000US40","Oklahoma","1485310","6108","1345376","7202","1051249","7780","59115","3152","1248887","7742","198083","5586","851938","9879","11494","1462","40578","2380","112","94","139934","3838"
"0400000US41","Oregon","1639970","6988","1548843","8267","1359550","10637","78266","3832","1413126","10107","110893","6232","1064145","11535","14511","1790","41063","3512","48","66","91127","5229"
"0400000US42","Pennsylvania","5070931","12151","4543748","14062","3859387","16633","280353","6564","4040547","14044","389259","11183","3085714","19501","68109","4062","111645","4726","1472","459","527183","10896"
