question,type,value,notes
1,int,72,
2,Figure,plt.Figure(),
3,list,"['Dane County',
 'Juneau County',
 'Taylor County',
 'Vilas County',
 'Rusk County',
 'Price County',
 'Jackson County',
 'Waushara County',
 'Pepin County',
 'Douglas County',
 'Ashland County',
 'Milwaukee County',
 'Waupaca County',
 'Richland County',
 'Lafayette County',
 'Washburn County',
 'Dunn County',
 'Bayfield County']",
4,float,0.016720430179409274,
5,float,90000.07422783462,tolerance=0.00001
6,list,"['Dane County',
 'Juneau County',
 'Taylor County',
 'Vilas County',
 'Rusk County',
 'Price County',
 'Jackson County',
 'Waushara County',
 'Pepin County',
 'Douglas County',
 'Ashland County',
 'Milwaukee County',
 'Waupaca County',
 'Richland County',
 'Lafayette County',
 'Washburn County',
 'Dunn County',
 'Bayfield County']",
7,dict,"{'Dane County': 216022,
 'Juneau County': 14669,
 'Taylor County': 10582,
 'Vilas County': 25116,
 'Rusk County': 8883,
 'Price County': 11120,
 'Jackson County': 9727,
 'Waushara County': 14843,
 'Pepin County': 3579,
 'Douglas County': 22825,
 'Ashland County': 9656,
 'Milwaukee County': 418053,
 'Waupaca County': 25396,
 'Richland County': 8868,
 'Lafayette County': 7230,
 'Washburn County': 12979,
 'Dunn County': 17964,
 'Bayfield County': 12999}",
8,float,0.9739348181232653,
9,float,0.01693954236334351,
10,str,'POP100 = 2.47*HU100 + -9276.89',
11,Figure,plt.Figure(),Train a linear regression model to predict population with land area
12,int,8,
13,Figure,plt.Figure(),
14,float,0.13797526789725206,
15,Figure,plt.Figure(),
16,Figure,plt.Figure(),
17,float,0.35,
